Player,Season,Team,Lg,G,AS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
Corey Seager,2022,TEX,AL,151,1,663,593,91,145,87,24,1,33,83,3,0,58,103,0.245,0.317,0.455,0.772,117,270
George Springer,2022,TOR,AL,133,1,583,513,89,137,86,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,132,242
Dansby Swanson,2022,ATL,NL,162,1,696,640,99,177,119,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114,286
Jose Trevino,2022,NYY,AL,115,1,353,335,39,83,59,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,89,130
Mike Trout,2022,LAA,AL,119,1,499,438,85,124,54,28,2,40,80,1,0,54,139,0.283,0.369,0.63,0.999,176,276
Kyle Tucker,2022,HOU,AL,150,1,609,544,71,140,81,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,129,260
Trea Turner,2022,LAD,NL,160,1,708,652,101,194,130,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124,304
Ronald Acuña Jr.,2021,ATL,NL,82,1,360,297,72,84,40,19,1,24,52,17,6,49,85,0.283,0.394,0.596,0.99,158,177
Ozzie Albies,2021,ATL,NL,156,1,686,629,103,163,86,40,7,30,106,20,4,47,128,0.259,0.31,0.488,0.799,108,307
Jose Altuve,2021,HOU,AL,146,1,678,601,117,167,103,32,1,31,83,5,3,66,91,0.278,0.35,0.489,0.839,127,294
Tim Anderson,2021,CHW,AL,123,1,551,527,94,163,115,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118,247
Nolan Arenado,2021,STL,NL,157,1,653,593,81,151,80,34,3,34,105,2,0,50,96,0.255,0.312,0.494,0.807,119,293
Mookie Betts,2021,LAD,NL,122,1,550,466,93,123,68,29,3,23,58,10,5,68,86,0.264,0.367,0.487,0.854,126,227
Bo Bichette,2021,TOR,AL,159,1,690,640,121,191,131,30,1,29,102,25,1,40,137,0.298,0.343,0.484,0.828,121,310
Xander Bogaerts,2021,BOS,AL,144,1,603,529,90,156,98,34,1,23,79,5,1,62,113,0.295,0.37,0.493,0.863,129,261
Michael Brantley,2021,HOU,AL,121,1,508,469,68,146,106,29,3,8,47,1,0,33,53,0.311,0.362,0.437,0.799,119,205
