Player,Season,Games_Played,All-Star,Plate_Appearances,At_Bats,Runs,Hits,Home_Run,Runs_Batted_In,Stolen_Bases,Walks,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Plus_(OPS+),Pos,Standings,WAR,PIE_Score
Jason Heyward,-0.22556308210167228,-0.27631710484876437,0,-0.30611220359305463,-0.29220216547998223,-0.23111694777005617,-0.2755952106541223,-0.5898295054188057,-0.10186181356556903,-0.42773354901923727,-0.16620721930437182,-1.1049210990463727,-0.034258473549506605,-0.0750265841039158,-0.5817541857301768,-0.8796876967061406,1.33060657710903,-0.8945688753696655,-0.0751682978166733,-1.302185976850081
Javier Báez,-0.22556308210167228,0.6204479031616209,0,-0.08417035110807655,0.050564995325795996,0.48410513212287193,0.16985020889914945,0.6049160536313668,0.565216037425387,0.20842271700711107,-0.6912085551437775,1.1781467514437363,0.4311287796203663,-0.33165263994869004,0.7412836984385054,-0.13823905524310767,-0.7262291858695821,-0.8945688753696655,0.11973553711389633,0.0476471217454171
Jean Segura,-0.22556308210167228,-0.32351526316510043,0,0.39259362830409866,0.5600837478749258,0.707612032089412,0.9772200318394546,-0.5898295054188057,-0.6855549331826555,1.4807352490598078,-0.5002989784749028,-0.6305173898536228,1.3286613393051192,0.5807955586105057,-0.029276827505892035,0.23248526548840875,0.0965051193218628,0.2783115063758536,0.655721083172963,1.1931133471859
Jed Lowrie,-0.22556308210167228,0.9980331696923094,0,1.0419790485379237,0.9584347725951545,0.97582031204926,0.9772200318394546,-0.2911431156562626,0.3150618433037784,-0.8518377263701361,1.3610693940466265,-0.1264634488363261,0.56409656624033,0.8944496268652297,0.2760396073022658,0.6032095862199252,-0.7262291858695821,0.8647516972486132,0.6069951244403204,1.971643392601981
Jedd Gyorko,-0.22556308210167228,-0.32351526316510043,0,-0.30611220359305463,-0.34778602939443276,-0.5440266077232123,-0.1642338557658044,0.30622966386882366,0.23167711192990892,-0.2156814603437878,0.12015714569894036,0.021787710286408225,0.39788683296537536,0.3526835089707079,0.6249726756544453,0.27367685668079944,-0.31486203327385964,-0.3081286844969059,0.21718745457918104,-0.05870401154443486
Joc Pederson,-0.22556308210167228,-1.4090729044408299,0,-1.6048830440607043,-1.765174559212921,-0.9016376476696764,-1.7789735016464145,-0.5898295054188057,-1.1024785900520029,-0.42773354901923727,-0.2616620076388092,-1.0752708672218259,-1.596629966334079,0.06754344692095877,-0.3200543844660423,-0.38538860239745193,0.9192394245133076,-1.598297104416977,-1.3420432248653762,-3.670152145312431
Joe Mauer,-0.22556308210167228,0.43165526989627656,0,0.6474157552312957,0.5693477251940009,0.2158968521630239,1.0607410480056931,-0.9880780251021966,0.3984465746776479,-0.6397856376946867,1.0269776348760957,-0.6305173898536228,1.4948710725800738,1.5787857757846275,-0.17466560598596717,0.3972516302579716,-1.1375963384653045,-0.4254167226714578,0.7531730006382477,0.8760477835240519
Joe Panik,-0.22556308210167228,0.2900607949472684,0,0.4501341085779819,0.43965204272694963,-0.18641556777674817,0.6988166446186598,-0.6893916353396534,-0.35201600768717756,-0.42773354901923727,0.07242975153172167,-1.4903741127654822,0.9297579794452283,0.5237675462005559,-0.11651009459393712,-0.13823905524310767,-0.7262291858695821,1.6857679644704766,-0.4162500089451703,0.4460821897792791
Joey Rickard,-0.22556308210167228,-0.9842894795938052,0,-1.9830062001462225,-1.8763422870418223,-1.5721583475692964,-1.639771808036017,-1.2867644148647397,-1.7695564410429587,-0.0036293716683383583,-1.69348383265537,-1.2235220263445603,-0.6326135133393431,-1.50072689435266,-1.2214648110425075,-1.5387531557843919,1.33060657710903,0.7474636590740613,-0.8060576788063096,-3.3116509517444364
Joey Votto,-0.22556308210167228,1.4228165945393338,1,1.5516233023923178,0.8843229540425538,1.8698479119154203,1.5897074837252032,1.8992237426023872,1.6075251795987557,-0.32170750468151255,4.272440438246967,-0.6305173898536228,1.9935002724049375,3.57476621013287,2.1660937275432404,2.5392143722622884,-1.1375963384653045,1.3339038499468208,2.7996632674092288,6.489528461261473
